HomeTeam,AwayTeam,FTHG,FTAG,FTR,TotalHomeMatches,TotalAwayMatches,TotalHomeGoals,TotalAwayGoals,TotalHomeConceded,TotalAwayConceded,TotalHomePoints,TotalAwayPoints,AverageHomeGoalsScored,AverageAwayGoalsScored,AverageHomeGoalsConceded,AverageAwayGoalsConceded,AverageHomePoints,AverageAwayPoints,AverageHomeGoalsScoredLast6,AverageAwayGoalsScoredLast6,AverageHomeGoalsConcededLast6,AverageAwayGoalsConcededLast6,AverageHomePointsLast6,AverageAwayPointsLast6,HistoricalAvgHomePoints,HistoricalAvgAwayPoints,IsItEliteHome,IsItEliteAway
Sunderland,Liverpool,0,1,A,18,18,19,21,37,22,12,27,1.0555555555555556,1.1666666666666667,2.0555555555555554,1.2222222222222223,0.6666666666666666,1.5,1.0,1.3333333333333333,1.8333333333333333,1.3333333333333333,1.0,1.6666666666666667,39.642857142857146,67.71428571428571,0,1
Arsenal,Newcastle,1,0,H,19,19,33,19,18,34,39,17,1.736842105263158,1.0,0.9473684210526315,1.7894736842105263,2.0526315789473686,0.8947368421052632,1.6666666666666667,1.0,1.1666666666666667,1.5,2.1666666666666665,1.1666666666666667,73.76190476190476,53.45,1,0
Leicester,Bournemouth,0,0,D,19,19,37,22,25,34,39,20,1.9473684210526316,1.1578947368421053,1.3157894736842106,1.7894736842105263,2.0526315789473686,1.0526315789473684,1.5,1.3333333333333333,0.8333333333333334,1.1666666666666667,1.8333333333333333,1.8333333333333333,42.55555555555556,0.0,0,0
Man United,Swansea,2,1,H,19,19,22,16,16,24,30,19,1.1578947368421053,0.8421052631578947,0.8421052631578947,1.263157894736842,1.5789473684210527,1.0,0.5,0.3333333333333333,1.1666666666666667,1.0,0.5,0.8333333333333334,81.42857142857143,47.75,1,0
Norwich,Southampton,1,0,H,19,19,22,26,32,23,20,24,1.1578947368421053,1.368421052631579,1.6842105263157894,1.2105263157894737,1.0526315789473684,1.263157894736842,1.0,1.1666666666666667,1.3333333333333333,1.5,1.3333333333333333,0.6666666666666666,40.0,46.5,0,0
Sunderland,Aston Villa,3,1,H,19,19,19,15,38,34,12,8,1.0,0.7894736842105263,2.0,1.7894736842105263,0.631578947368421,0.42105263157894735,0.8333333333333334,0.8333333333333334,2.0,1.6666666666666667,0.5,0.5,39.642857142857146,51.19047619047619,0,0
Watford,Man City,1,2,A,19,19,24,37,20,20,29,36,1.263157894736842,1.9473684210526316,1.0526315789473684,1.0526315789473684,1.5263157894736843,1.894736842105263,2.0,1.6666666666666667,1.0,1.1666666666666667,2.1666666666666665,1.6666666666666667,26.0,57.8125,0,1
West Brom,Stoke,2,1,H,19,19,18,20,24,19,23,29,0.9473684210526315,1.0526315789473684,1.263157894736842,1.0,1.2105263157894737,1.5263157894736843,1.0,1.5,1.1666666666666667,1.1666666666666667,1.0,1.6666666666666667,38.333333333333336,47.0,0,0
West Ham,Liverpool,2,0,H,19,19,28,22,23,22,29,30,1.4736842105263157,1.1578947368421053,1.2105263157894737,1.1578947368421053,1.5263157894736843,1.5789473684210527,0.6666666666666666,0.8333333333333334,0.5,1.1666666666666667,1.3333333333333333,1.6666666666666667,46.94444444444444,67.71428571428571,0,1
Crystal Palace,Chelsea,0,3,A,19,19,23,23,16,29,31,20,1.2105263157894737,1.2105263157894737,0.8421052631578947,1.5263157894736843,1.631578947368421,1.0526315789473684,1.5,1.0,0.5,1.0,2.0,1.0,40.8,73.28571428571429,0,1
Everton,Tottenham,1,1,D,19,19,35,33,28,15,26,35,1.8421052631578947,1.736842105263158,1.4736842105263157,0.7894736842105263,1.368421052631579,1.8421052631578947,1.8333333333333333,1.5,2.0,0.6666666666666666,1.0,1.8333333333333333,53.285714285714285,56.523809523809526,0,1
Aston Villa,Crystal Palace,1,0,H,20,20,16,23,37,19,8,31,0.8,1.15,1.85,0.95,0.4,1.55,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.8333333333333334,0.5,1.5,51.19047619047619,40.8,0,0
Bournemouth,West Ham,1,3,A,20,20,22,30,34,23,21,32,1.1,1.5,1.7,1.15,1.05,1.6,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.3333333333333333,1.8333333333333333,1.6666666666666667,0.0,46.94444444444444,0,0
Newcastle,Man United,3,3,D,20,20,19,24,35,17,17,33,0.95,1.2,1.75,0.85,0.85,1.65,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.1666666666666667,1.1666666666666667,0.8333333333333334,53.45,81.42857142857143,0,1
Chelsea,West Brom,2,2,D,20,20,26,20,29,25,23,26,1.3,1.0,1.45,1.25,1.15,1.3,1.5,1.1666666666666667,1.0,1.1666666666666667,1.3333333333333333,1.3333333333333333,73.28571428571429,38.333333333333336,1,0
Liverpool,Arsenal,3,3,D,20,20,22,34,24,18,30,42,1.1,1.7,1.2,0.9,1.5,2.1,0.6666666666666666,1.6666666666666667,1.5,1.0,1.1666666666666667,2.5,67.71428571428571,73.76190476190476,1,1
Man City,Everton,0,0,D,20,20,39,36,21,29,39,27,1.95,1.8,1.05,1.45,1.95,1.35,1.5,1.5,1.1666666666666667,1.6666666666666667,1.6666666666666667,1.0,57.8125,53.285714285714285,1,0
Southampton,Watford,2,0,H,20,20,26,25,24,22,24,29,1.3,1.25,1.2,1.1,1.2,1.45,1.0,1.6666666666666667,1.1666666666666667,1.0,0.6666666666666666,1.6666666666666667,46.5,26.0,0,0
Stoke,Norwich,3,1,H,20,20,21,23,21,32,29,23,1.05,1.15,1.05,1.6,1.45,1.15,1.6666666666666667,1.0,1.1666666666666667,1.1666666666666667,1.6666666666666667,1.6666666666666667,47.0,40.0,0,0
Swansea,Sunderland,2,4,A,20,20,17,22,26,39,19,15,0.85,1.1,1.3,1.95,0.95,0.75,0.5,1.0,1.1666666666666667,2.1666666666666665,0.8333333333333334,0.5,47.75,39.642857142857146,0,0
